m/z,intensity
764.320983886719,378422
764.385894775391,16994
764.431915283203,282506
764.486450195312,7240
764.543334960938,207058
764.595764160156,10718
764.653778076172,144620
764.702209472656,5738
764.765258789062,98520
764.835845947266,6546
764.87548828125,62856
764.944610595703,5828
764.985046386719,39128
765.049072265625,2508
765.099609375,46342
765.211639404297,45558
765.321960449219,59602
765.433166503906,65110
765.544158935547,67912
765.656127929688,60768
765.766235351562,51826
765.878601074219,39660
765.987518310547,22674
766.096405029297,35678
766.209594726562,56610
766.3203125,81744
766.432373046875,100084
766.5439453125,86444
766.655578613281,71478
766.766845703125,59326
766.878723144531,32854
766.988220214844,15356
767.100891113281,2528
767.545837402344,20004
767.65673828125,68392
767.768402099609,138474
767.879272460938,175726
767.990478515625,184752
768.101531982422,165278
768.212829589844,111782
768.322509765625,65330
768.433288574219,41524
768.543579101562,14672
768.653503417969,13030
769.325439453125,31400
769.437805175781,60696
769.549560546875,94566
769.599975585938,2726
769.660095214844,114758
769.729736328125,5486
769.771453857422,124276
769.882202148438,109630
769.992370605469,85598
770.102600097656,60348
770.214477539062,18534
770.326721191406,2814
770.598327636719,2608
770.655334472656,2758
770.873748779297,11520
770.98583984375,20326
771.09716796875,23260
771.205932617188,15230
771.31689453125,8352
771.425689697266,5436
772.547027587891,30922
772.660339355469,95894
772.7724609375,158540
772.883361816406,161948
772.993408203125,125596
773.103942871094,90640
773.214691162109,42882
773.324584960938,22866
773.435028076172,6378
775.778930664062,2554
775.849365234375,5438
775.890350341797,5940
775.975769042969,13320
776.099914550781,8414
776.227447509766,27158
776.319946289062,19556
776.4111328125,9384
776.502166748047,5710
778.202758789062,2612
778.31787109375,2908
778.429138183594,15828
778.543701171875,25034
778.654937744141,18686
778.766357421875,14966
778.875793457031,21552
778.98681640625,41046
779.099273681641,55270
779.208709716797,30194
779.31787109375,17292
779.435424804688,33600
779.548889160156,76250
779.660339355469,116058
779.772186279297,124238
779.883361816406,111400
779.994659423828,82446
780.105834960938,52674
780.216369628906,28108
780.328796386719,11610
781.32275390625,2672
782.089172363281,3414
782.202880859375,2724
783.985900878906,9136
784.097106933594,9402
785.761962890625,16500
785.873779296875,37214
785.984985351562,54940
786.096252441406,56440
786.207397460938,43760
786.319763183594,35410
786.430358886719,22260
786.541534423828,5938
788.430969238281,36214
