"","sample","ground_truth","z","mz","spectrum_type","intensity","scaling_factor"
"310","prop0_id1",0,9,762.32275390625,"flp",0.0790119599391722,0.992583346764148
"311","prop0_id1",0,9,762.32275390625,"imp",0.0234408127286825,0.00741665323585217
"312","prop0_id1",0,9,762.32275390625,"residuals",-0.00290650972036474,1
"313","prop0_id1",0,9,762.434204101562,"mix",0.0438933497624892,1
"314","prop0_id1",0,9,762.434204101562,"flp",0.0450661169611538,0.992583346764148
"315","prop0_id1",0,9,762.434204101562,"imp",0.0111507365487712,0.00741665323585217
"316","prop0_id1",0,9,762.434204101562,"residuals",-0.00092122858278397,1
"317","prop0_id1",0,9,762.545379638672,"mix",0.0232126002610631,1
"318","prop0_id1",0,9,762.545379638672,"flp",0.0233161715077407,0.992583346764148
"319","prop0_id1",0,9,762.545379638672,"imp",0.00491610965666028,0.00741665323585217
"320","prop0_id1",0,9,762.545379638672,"residuals",3.28956315900977e-05,1
"321","prop0_id1",0,9,762.656677246094,"mix",0.0117524022334628,1
"322","prop0_id1",0,9,762.656677246094,"flp",0.0110751363752045,0.992583346764148
"323","prop0_id1",0,9,762.656677246094,"imp",0.00202388201111913,0.00741665323585217
"324","prop0_id1",0,9,762.656677246094,"residuals",0.00074439587322624,1
"325","prop0_id1",0,9,762.767883300781,"mix",0.00576104655123742,1
"326","prop0_id1",0,9,762.767883300781,"flp",0.00487529746280148,0.992583346764148
"327","prop0_id1",0,9,762.767883300781,"imp",0.000782815325791953,0.00741665323585217
"328","prop0_id1",0,9,762.767883300781,"residuals",0.000916101609320058,1
"329","prop0_id1",0,9,762.878662109375,"mix",0.00296073800221525,1
"330","prop0_id1",0,9,762.878662109375,"flp",0.00200388878416288,0.992583346764148
"331","prop0_id1",0,9,762.878662109375,"imp",0.00028593243121886,0.00741665323585217
"332","prop0_id1",0,9,762.878662109375,"residuals",0.000969590704596483,1
"333","prop0_id1",0,9,762.988677978516,"mix",0.00171115916697571,1
"334","prop0_id1",0,9,762.988677978516,"flp",0.000773807399911628,0.992583346764148
"335","prop0_id1",0,9,762.988677978516,"imp",9.90545702278547e-05,0.00741665323585217
"336","prop0_id1",0,9,762.988677978516,"residuals",0.000942356174821756,1
"337","prop0_id1",0,9,763.098693847656,"mix",0.00121731205244241,1
"338","prop0_id1",0,9,763.098693847656,"flp",0.000282162683733519,0.992583346764148
